label,group,model_type,skip_tfidf,model,tfidf_scheme,tfidf_ngram,tfidf_top_n,alpha,citation_beta,agg,chunk_tokens,chunk_stride,micro_f1_pct,micro_k,MAP_pct,MRR_pct,NDCG10_pct,elapsed_s,error
I_log_n4_a06,I,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,log,4,200,0.6,0.0,max_chunk,256,128,40.4557,8,52.7931,74.5134,61.1937,266.7,
I_aug_n7_a06,I,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.6,0.0,max_chunk,256,128,39.9555,8,51.7445,73.8237,60.0609,263.1,
I_aug_n7_a08,I,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.8,0.0,max_chunk,256,128,42.9123,7,56.6302,77.5179,65.0732,264.2,
I_aug_n7_a09,I,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.9,0.0,max_chunk,256,128,43.8455,8,58.7276,79.0713,67.1144,263.7,
I_aug_n9_a08,I,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,9,200,0.8,0.0,max_chunk,256,128,43.2095,7,56.8502,77.4407,65.5931,293.1,
A_aug_n7_a050,A,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.5,0.0,max_chunk,256,128,38.8729,9,49.9463,72.5135,58.5139,263.5,
A_aug_n7_a070,A,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.7,0.0,max_chunk,256,128,41.7894,8,53.9229,75.8122,62.51,264.3,
A_aug_n7_a085,A,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.85,0.0,max_chunk,256,128,43.2689,7,57.8534,78.965,66.526,264.1,
A_aug_n7_a095,A,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.95,0.0,max_chunk,256,128,44.6791,8,59.4822,79.4859,68.362,263.8,
G_aug_n7_a08_meanchunk,G,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.8,0.0,mean_chunk,256,128,42.734,7,56.5511,77.601,65.4279,263.5,
C_chunk128_str64,C,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.8,0.0,max_chunk,128,64,40.951,7,53.7903,75.6109,62.4181,256.2,
C_chunk512_str256,C,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.8,0.0,max_chunk,512,256,42.5557,7,55.5195,77.2173,64.2351,169.9,
C_chunk512_str128,C,biencoder,False,sentence-transformers/all-MiniLM-L6-v2,augmented,4,200,0.8,0.0,max_chunk,512,128,42.5674,8,55.8142,76.5469,64.3722,294.0,
